pmid,title,year,journal,doi,content_sha256,drive_file_id,drive_filename_citation,metadata_patched
local_76fc33d0,Very early detection of Autism Spectrum Disorders based on acoustic analysis of pre-verbal vocalizations of 18-month old toddlers,2013,,10.1109/icassp.2013.6639134,b7836323cad8de3cbf264c70bbe1778ddce9b210bb6bc54c6e4aec91abac6a18,13oYScKtFHhrBmi0WhNwATHAqSLTcuWJE,"Santos, J. F., Brosh, N., Falk, T. H., Zwaigenbaum, L., Bryson, S. E., Roberts, W., Smith, I. M., Szatmari, P., & Brian, J. A. (2013). Very early detection of Autism Spectrum Disorders based on acoustic analysis of pre-verbal vocalizations of 18-month old toddlers. In 2013 IEEE International Conference on Acoustics, Speech and Signal Processing (pp. 7567-7571). IEEE. https://doi.org/10.1109/icassp.2013.6639134",doi_filled
local_0dbc5018,Use of Machine Learning to Identify Children with Autism and Their Motor Abnormalities,2015,Journal of Autism and Develo,10.1007/s10803-015-2379-8,bf239cf239f6c5b3959bbb65f58f5a0561f0540bfa13d1d1603d4b0c9ff69398,10cSjZnl7veUzFV7wKpXeOvNMfCeVDzfK,"Crippa, A., Salvatore, C., Perego, P., Forti, S., Nobile, M., Molteni, M., & Castiglioni, I. (2015). Use of Machine Learning to Identify Children with Autism and Their Motor Abnormalities. Journal of Autism and Developmental Disorders, 45(7), 2146-2156. https://doi.org/10.1007/s10803-015-2379-8",doi_filled
local_dc5fc4bb,ADHD and ASD Classification Based on Emotion Recognition Data,2016,I,10.1109/icmla.2016.0145,b6afa3f708c567566cf4fc82b9d8d058b76ae6c66eeec959de2e71a950aeaa93,1bkB7-ZJPF1cndu-2RBXCZly8Pd0N0D70,"Uluyagmur-Ozturk, M., Arman, A. R., Yilmaz, S. S., Findik, O. T. P., Genc, H. A., Carkaxhiu-Bulut, G., Yazgan, M. Y., Teker, U., & Cataltepe, Z. (2016). ADHD and ASD Classification Based on Emotion Recognition Data. In 2016 15th IEEE International Conference on Machine Learning and Applications (ICMLA) (pp. 810-813). IEEE. https://doi.org/10.1109/icmla.2016.0145",doi_filled
local_863980f8,Identifying children with autism spectrum disorder based on their face processing abnormality: A machine learning framework,2016,"Autism Research, 9(8), 888-898",10.1002/aur.1615,64667abc44226c8808d7a03b65fbfc2816fcaf04ee798353fabaa6459edc81cc,1XzgMplrzx8hCHrxed2D5hoMf7EDVT2Bl,"Liu, W., Li, M., & Yi, L. (2016). Identifying children with autism spectrum disorder based on their face processing abnormality: A machine learning framework. Autism Research, 9(8), 888-898. https://doi.org/10.1002/aur.1615",doi_filled
local_be8aa62f,Semantic mapping reveals distinct patterns in descriptions of social relations in adults with autism spectrum disorder,2016,"Autism Research, 9(8), 846-8",10.1002/aur.1581,1844967e9a2e60d61fa38b68c70ad74bb17c20eac899a99a9210c9a4efe422e3,1rB5mfiCbILlJsocPo_r18DCtBfNH3YjC,"Luo, S. X., Shinall, J. A., Peterson, B. S., & Gerber, A. J. (2016). Semantic mapping reveals distinct patterns in descriptions of social relations in adults with autism spectrum disorder. Autism Research, 9(8), 846-853. https://doi.org/10.1002/aur.1581",doi_filled
local_e404a2a3,Toward the Autism Motor Signature: Gesture patterns during smart tablet gameplay identify children with autism,2016,"Scientific Reports, 6(1), Article 31107. http",10.1038/srep31107,6e0a921b3bdbce0605a53a99c26e988487a67ca02847eddbc1a70bb1c2cbad69,1xgWRxYghW95TED9wDqpnxP82LJjz4Wm8,"Anzulewicz, A., Sobota, K., & Delafield-Butt, J. T. (2016). Toward the Autism Motor Signature: Gesture patterns during smart tablet gameplay identify children with autism. Scientific Reports, 6(1), Article 31107. https://doi.org/10.1038/srep31107",
local_780141fc,Applying machine learning to identify autistic adults using imitation: An exploratory study,2017,"PLOS ONE, 12(8), Article e0182652",10.1371/journal.pone.0182652,c42a47c5e241c2036e86aa354dcfe599615819182636b6262d77a4d74e7488a5,14skBcYxavKw5ET1lXkEeblCFL2I8n6Jg,"Li, B., Sharma, A., Meng, J., Purushwalkam, S., & Gowen, E. (2017). Applying machine learning to identify autistic adults using imitation: An exploratory study. PLOS ONE, 12(8), Article e0182652. https://doi.org/10.1371/journal.pone.0182652",doi_filled
local_3a331973,Automatic Detection of ADHD and ASD from Expressive Behaviour in RGBD Data,2017,2017 12th IEEE International Conference on Automatic Face & Gesture Recognit,10.1109/fg.2017.95,81278ed75822c3a417eb9f8a11662accac96437c9586cd7b2a467662e0c96a7d,1cCGT0R8zRR6Fw9rpAl56oSic2AWCxvCz,"Jaiswal, S., Valstar, M. F., Gillott, A., & Daley, D. (2017). Automatic Detection of ADHD and ASD from Expressive Behaviour in RGBD Data. In 2017 12th IEEE International Conference on Automatic Face & Gesture Recognition (FG 2017) (pp. 762-769). IEEE. https://doi.org/10.1109/fg.2017.95",doi_filled
local_7b3e6b3a,Earlier identification of children with autism,2017,,10.21437/interspeech.2017-1007,63b45f6cb44a1749b697540eb6d80eedc4e4ea5221a84a09d3e39df6324d439b,1GyLamX3IJdx5Pfnt-vIx2ulwbXhiVmJi,"Pokorny, F. B., Schuller, B., Marschik, P. B., Brueckner, R., Nyström, P., Cummins, N., Bölte, S., Einspieler, C., & Falck-Ytter, T. (2017). Earlier identification of children with autism spectrum disorder: An automatic vocalisation-based approach. In Interspeech 2017 (pp. 309-313). ISCA. https://doi.org/10.21437/interspeech.2017-1007",
local_36aa3ace,Speech-based Diagnosis of Autism Spectrum Condition by Generative,2017,Proceedings of the 2017 Inte,10.1145/3079452.3079492,ce9412b138ce353e7c83db48d649a06a32f5864920559dfe81066c5bfec72e6e,1YaVtT18_0cb5h5gdOn__ggI1Q-nSL0qa,"Deng, J., Cummins, N., Schmitt, M., Qian, K., Ringeval, F., & Schuller, B. (2017). Speech-based diagnosis of autism spectrum condition by generative adversarial network representations. In Proceedings of the 2017 International Conference on Digital Health (pp. 53-57). ACM. https://doi.org/10.1145/3079452.3079492",
